GEOID,total,over_200,percent
53061051923,1814,42,2.31532524807056
53061051924,2435,159,6.52977412731006
53061051925,2484,288,11.5942028985507
53061051926,1483,272,18.3412002697235
53061051927,1581,169,10.6894370651486
53061051928,1785,73,4.08963585434174
53061052003,2575,185,7.18446601941748
53061052004,2290,193,8.42794759825328
53061052005,2531,127,5.01777953378111
53061052006,1420,167,11.7605633802817
53061052007,1615,107,6.62538699690402
53061052104,1210,28,2.31404958677686
53061052105,667,96,14.3928035982009
53061052107,1423,137,9.62754743499649
53061052108,1977,220,11.1279716742539
53061052112,917,51,5.56161395856052
53061052113,1044,146,13.9846743295019
53061052114,1560,200,12.8205128205128
53061052115,2222,111,4.995499549955
53061052118,2340,193,8.24786324786325
53061052203,1769,54,3.05257207461843
53061052204,1689,60,3.55239786856128
53061052206,1420,81,5.70422535211268
53061052207,1908,105,5.50314465408805
53061052208,1559,0,0
53061052209,859,16,1.86263096623981
53061052301,1574,49,3.1130876747141
53061052302,1309,86,6.56990068754775
53061052401,1572,44,2.79898218829517
53061052402,1674,46,2.7479091995221
53061052502,1551,9,0.580270793036751
53061052503,2285,0,0
53061052504,876,33,3.76712328767123
53061052603,840,20,2.38095238095238
53061052604,1697,61,3.59457866823807
53061052605,2118,9,0.424929178470255
53061052606,1784,92,5.15695067264574
53061052607,1883,225,11.9490175252257
53061052701,534,36,6.74157303370786
53061052705,2415,60,2.48447204968944
53061052706,1766,98,5.54926387315968
53061052707,1154,0,0
53061052708,1712,46,2.68691588785047
53061052709,1146,34,2.96684118673647
53061052803,1723,3,0.174114915844457
53061052804,2365,32,1.35306553911205
53061052805,1765,38,2.15297450424929
53061052806,2371,4,0.168705187684521
53061052903,1668,0,0
53061052904,1985,63,3.17380352644836
53061052905,1806,0,0
53061052906,1752,60,3.42465753424658
53061053101,1222,31,2.53682487725041
53061053102,1765,41,2.32294617563739
53061053201,1504,75,4.98670212765957
53061053202,1612,104,6.45161290322581
53061053301,2382,15,0.629722921914358
53061053302,1907,139,7.28893550078658
53061053400,1944,49,2.52057613168724
53061053504,2628,16,0.60882800608828
53061053505,1800,29,1.61111111111111
53061053506,1904,58,3.04621848739496
53061053507,1791,64,3.57342266890006
53061053508,1364,22,1.61290322580645
53061053509,1422,0,0
53061053602,2010,81,4.02985074626866
53061053603,1346,47,3.49182763744428
53061053604,1539,24,1.55945419103314
53061053700,1233,11,0.89213300892133
53061053801,1267,44,3.47277032359905
53061053802,1822,12,0.658616904500549
53061053803,2106,8,0.379867046533713
53061940001,2501,127,5.07796881247501
53061940002,1335,34,2.54681647940075
53061990002,0,0,NaN
53061990100,0,0,NaN
53035080101,1086,18,1.65745856353591
53035080102,1716,31,1.80652680652681
53035080200,1563,0,0
53035080300,1445,13,0.899653979238754
53035080400,1663,15,0.90198436560433
53035080500,1266,0,0
53035080600,2045,45,2.20048899755501
53035080700,1547,55,3.55526826115061
53035080800,600,0,0
53035080900,1935,34,1.75710594315245
53035081000,1746,0,0
53035081100,1120,0,0
53035081200,1292,0,0
53035081400,51,0,0
53035090101,2243,29,1.29291127953634
53035090102,2311,145,6.27434011250541
53035090201,1726,83,4.80880648899189
53035090202,1973,61,3.09173846933604
53035090300,1104,0,0
53035090400,1696,38,2.24056603773585
53035090501,1908,19,0.9958071278826
53035090502,1699,60,3.53148911124191
53035090700,1949,372,19.0867111339148
53035090800,1577,276,17.5015852885225
53035090900,3273,350,10.6935533150015
53035091000,2526,486,19.2399049881235
53035091100,1895,72,3.79947229551451
53035091201,1736,69,3.97465437788018
53035091203,3043,50,1.64311534669734
53035091204,1473,50,3.39443312966735
53035091301,1670,60,3.59281437125748
53035091302,2014,246,12.214498510427
53035091400,1264,104,8.22784810126582
53035091500,1371,35,2.5528811086798
53035091600,2855,0,0
53035091700,2759,100,3.62450163102573
53035091800,1294,56,4.32766615146832
53035091900,1558,30,1.92554557124519
53035092000,2140,74,3.45794392523364
53035092100,2460,98,3.98373983739837
53035092200,2658,70,2.63355906696764
53035092300,2403,16,0.665834373699542
53035092400,2567,0,0
53035092500,2216,39,1.75992779783394
53035092600,2419,72,2.97643654402646
53035092701,1655,58,3.50453172205438
53035092704,1093,24,2.19579139981702
53035092801,1629,0,0
53035092802,1578,54,3.42205323193916
53035092803,1047,19,1.81470869149952
53035092901,2083,44,2.11233797407585
53035092902,2002,19,0.949050949050949
53035940000,1333,54,4.0510127531883
53035940100,2393,83,3.46844964479733
53035990100,0,0,NaN
53053060200,427,48,11.2412177985948
53053060300,1841,98,5.32319391634981
53053060400,1669,156,9.34691431995207
53053060500,1661,303,18.2420228777845
53053060600,2460,111,4.51219512195122
53053060700,2131,52,2.44016893477241
53053060800,2159,16,0.741083835108847
53053060903,1391,66,4.74478792235802
53053060904,2038,52,2.55152109911678
53053060905,2979,75,2.51762336354481
53053060906,908,0,0
53053061001,1764,167,9.4671201814059
53053061002,2156,15,0.695732838589981
53053061100,2844,0,0
53053061200,1920,0,0
53053061300,1855,8,0.431266846361186
53053061400,1191,5,0.419815281276238
53053061500,2978,27,0.906648757555406
53053061601,1322,23,1.73978819969743
53053061602,461,12,2.60303687635575
53053061700,1654,32,1.93470374848851
53053061800,988,0,0
53053061900,831,37,4.45246690734055
53053062000,1691,0,0
53053062300,1487,0,0
53053062400,2107,0,0
53053062500,2830,27,0.954063604240283
53053062600,1214,9,0.741350906095552
53053062801,2804,9,0.320970042796006
53053062802,1468,0,0
53053062900,2881,0,0
53053063000,1132,0,0
53053063100,1498,0,0
53053063200,1870,0,0
53053063300,2331,4,0.171600171600172
53053063400,2572,0,0
53053063501,1543,17,1.10174983797796
53053063502,1642,24,1.46163215590743
53053070100,1121,23,2.05173951828724
53053070203,1761,56,3.18001135718342
53053070204,1315,0,0
53053070205,1213,48,3.95713107996702
53053070206,1303,45,3.4535686876439
53053070207,1761,19,1.07893242475866
53053070307,1673,275,16.4375373580394
